medicineName,dosage,uses,details
Deep Massage 125 Gm Cream,"125 G, 125 G",,Topical cream formulation
Deepo Deepfreeze Aerosol Cold Spray 150 Ml,"150 ML, 150 ML",Cold Relief,Spray formulation
Deetrio 30,,Opioid Analgesic,Tramadol
Defucin H Cream 30 gm,30 G,Antifungal (Imidazole),Miconazole + Hydrocortisone
Degreasian 1 Gm 28 Cap,"1 G, 1 G",,Oral capsule formulation
Dekadel 200 Mg / 5 Ml Syrup 125 Ml,"200 MG, 5 ML, 125 ML, 5 ML, 125 ML",,Oral liquid formulation
Dekadel Chrono 500 mg 30,500 MG,Anticonvulsant,Valproic acid
Dekadel Oral Solution 125 ml,125 ML,Anticonvulsant,Valproic acid
Delarex,,"Pain relief, Fever reduction",Paracetamol
Delarex 2.5 Mg / 5 Ml Syrup 60 Ml,"2.5 MG, 5 ML, 60 ML, 5 ML, 60 ML",,Oral liquid formulation
Delarex 5 Mg 20 Tab,5 MG,,Oral tablet formulation
Delarex 5 Mg 30 Tab (180335),5 MG,,Oral tablet formulation
Delecar Cream 50 gm,50 G,Pharmacological Agent,Ketoprofen
Deledark 60 Gm Whitening Cream,"60 G, 60 G",,Topical cream formulation
Delepe 60 mg 3,60 MG,Opioid Analgesic,Tramadol
Delepe 60 mg 6,60 MG,Opioid Analgesic,Tramadol
Delmonkast 10 mg 14 Chewable,10 MG,Leukotriene Receptor Antagonist,Montelukast
Delmoxa 400 Mg 5 Tab,400 MG,,Oral tablet formulation
Deloitte Bone 30 Hard Gelatin,,Nutritional supplement,Calcium + Vitamin D
Deloitte Mag 20 Film Coated,,Magnesium Supplement,Magnesium
Deloitte Rose 20 Soft Gelatin,,Nutritional supplement,Vitamin C + Rosehip
Delotax Vitamin D3 (4000 IU ) 60,4000 IU,"Bone health, Calcium absorption",Vitamin D3
Delpanto - Ec 20 Mg 14 Tab,20 MG,,Oral tablet formulation
Delpanto - Ec 40 Mg 14 Tab,40 MG,,Oral tablet formulation
Delpanto 20 mg 14,20 MG,Proton Pump Inhibitor,Pantoprazole
Delpiramate 100 mg 30,100 MG,Pharmacological Agent,Topiramate
Delpiramate 25 mg 10,25 MG,Pharmacological Agent,Topiramate
Deltaclav 1 Gm 14 Tab,"1 G, 1 G",,Oral tablet formulation
Deltaclav 228.5 Mg / 5 Ml Susp 80 Ml,"228.5 MG, 5 ML, 80 ML, 5 ML, 80 ML",,Pharmaceutical preparation
Deltaclav 228.50 mg Powder for Oral Suspension 80 ml,"228.50 MG, 80 ML","Bacterial infections, Antibiotic",Amoxicillin + Clavulanic acid
Deltaclav 457 Mg / 5 Ml Susp 80 Ml,"457 MG, 5 ML, 80 ML, 5 ML, 80 ML",,Pharmaceutical preparation
Deltaclav 642.9 Mg / 5 Ml Susp 75 Ml,"642.9 MG, 5 ML, 75 ML, 5 ML, 75 ML",,Pharmaceutical preparation
Deltaclav 642.9 mg Powder for Oral Suspension 75 ml,"642.9 MG, 75 ML","Bacterial infections, Antibiotic",Amoxicillin + Clavulanic acid
Deltaglipt 25 Mg 10 Tab,25 MG,,Oral tablet formulation
Deltarhino Nasal Spray 15 Ml,"15 ML, 15 ML",,Spray formulation
Deltasone,,Corticosteroid,Prednisone
Deltasone 0.05 Mg / Ml Syrup 120 Ml,"0.05 MG, 120 ML, 120 ML",,Oral liquid formulation
Deltasone 0.75 mg 30,0.75 MG,Corticosteroid,Prednisone
Deltavit (B12) 1000 mg 30,1000 MG,Nutritional supplement,Vitamin B12
Deltavit -B12- 1000 Mcg 30 Sublingual Tab,1000 MCG,,Oral tablet formulation
Delzosin 500 mg 6 Film Coated,500 MG,Fluoroquinolone Antibiotic,Levofloxacin
Delzosin 600 mg 6,600 MG,Fluoroquinolone Antibiotic,Levofloxacin
Demafight 5 mg 30,5 MG,5-alpha Reductase Inhibitor,Finasteride
Demancortil 1 Amp 2 Ml,"2 ML, 2 ML",,Pharmaceutical preparation
Demancortil 2 ml 1 Ampoule,2 ML,"Anti-inflammatory, Corticosteroid",Dexamethasone
Demas 10000 IU 30 Film Coated,10000 IU,"Bone health, Calcium absorption",Vitamin D
Densitin 30,,Nutritional supplement,Calcium + Vitamin D
Densitin 30 Cap,,,Oral capsule formulation
Dentinox Inf Drops 100 Ml,"100 ML, 100 ML",,Ophthalmic/otic drops
Dentinox Infant Colic,,Pharmacological Agent,Simethicone
Dently - Dex Mouth Wash 125 ml,125 ML,Pharmacological Agent,Chlorhexidine
Denton Mouthwash with Clove Flavor 300 ml,300 ML,Pharmacological Agent,Chlorhexidine
Depa Dolls Massage Cream 100 g,100 G,Pharmacological Agent,Menthol
Depakine (Chrono) 500 Mg 30 Tab#,500 MG,,Oral tablet formulation
Depakine 200 Mg / Ml Oral Drops (Solution) 40 Ml,"200 MG, 40 ML, 40 ML",,Ophthalmic/otic drops
Depakine 200 mg /ml Oral Solution 40 ml,"200 MG, 40 ML",Anticonvulsant,Valproic acid
Depakine 200 Mg 40 Tab (Stre) #,200 MG,,Oral tablet formulation
Depakine 57.64 mg / ml,57.64 MG,Anticonvulsant,Valproic acid
Depakine 57.64 Mg / Ml Syrup 125 Ml #,"57.64 MG, 125 ML, 125 ML",,Oral liquid formulation
Depakine Chrono 500 mg 30,500 MG,Anticonvulsant,Valproic acid
Depo Lutin 30 Cap,,,Oral capsule formulation
Depo Lutin 30 Hard Gelatin,,Pharmacological Agent,Progesterone
Depo-Pen 1.2 IU.M 1 Vial,1.2 IU,Insulin,Insulin
Depofort - B12 1000 Mcg / 1 Ml 2 Amp (395738),"1000 MCG, 1 ML, 1 ML",,Pharmaceutical preparation
Depofort - B12 1000 Mcg / 1 Ml 5 Amp (38633),"1000 MCG, 1 ML, 1 ML",,Pharmaceutical preparation
Depopen 1.2 M. I. U. 1 Vial <1>,,,Parenteral formulation
Depovit - B12 - 1000 Mcgm / 1 Ml 3 Amp (296331),"1000 MCG, 1 ML, 1 ML",,Pharmaceutical preparation
Depovit - B12 - 1000 Mcgm / 1 Ml 5 Amp #,"1000 MCG, 1 ML, 1 ML",,Pharmaceutical preparation
Depram 20 mg 20,20 MG,SSRI Antidepressant,Citalopram
Depram 40 Mg 20 Tab (88706),40 MG,,Oral tablet formulation
Depratiox 10 mg 20 Film Coated,10 MG,SSRI Antidepressant,Citalopram
Depratiox 20 Mg 20 Tab,20 MG,,Oral tablet formulation
Depreban 20 mg 10,20 MG,SSRI Antidepressant,Citalopram
Depreban 20 Mg 10 Cap,20 MG,,Oral capsule formulation
Depretreve 20 mg 20,20 MG,SSRI Antidepressant,Fluoxetine
Depretreve 30 mg 20,30 MG,SSRI Antidepressant,Fluoxetine
Depretreve 60 mg 20,60 MG,SSRI Antidepressant,Fluoxetine
Deprezopent 10 mg 30 Film Coated,10 MG,SSRI Antidepressant,Citalopram
Depzabid 0.5% Eye,0.5%,Pharmacological Agent,Chloramphenicol
Depzabid 0.5% Eye Drops 5 Ml,"5 ML, 5 ML, 0.5%",,Ophthalmic/otic drops
Derma Pure 30 Gm Cream,"30 G, 30 G",,Topical cream formulation
Derma Soft Plus Cream 60Gm,"60 G, 60 G",,Topical cream formulation
Dermactive Tricho - Act 60 Gummies,60 G,Nutritional supplement,Biotin + Vitamins
Dermactive Tricho-Act Food Supplement 60 Gummies,60 G,Nutritional Supplement,Rectal suppository formulation
Dermaflutisone Cream 15 gm,15 G,Pharmacological Agent,Fluocinonide
Dermalina Psoriasis Skin Cream 100 gm,100 G,Pharmacological Agent,Coal tar
Dermatin 1% 14 Gm Cream,"14 G, 14 G, 1%",,Topical cream formulation
Dermatin Solution 20 ml,20 ML,Pharmacological Agent,Salicylic acid
Dermo Calm Lotion 120 ml,120 ML,Pharmacological Agent,Calamine
Dermocort 15 gm Cream,15 G,Corticosteroid,Hydrocortisone
Dermofix 2% 15 Gm Cream,"15 G, 15 G, 2%",,Topical cream formulation
Dermofix 2% 15 Gm Powder,"15 G, 15 G, 2%",,Pharmaceutical preparation
Dermofix 2% Spray 15 Ml,"15 ML, 15 ML, 2%",,Spray formulation
Dermofix Cream 15 gm,15 G,Antifungal (Imidazole),Miconazole
Dermofix Powder 15 gm,15 G,Antifungal (Imidazole),Miconazole
Dermotracin 150 Ml Powder Spray,"150 ML, 150 ML",,Spray formulation
Dermotracin Aerosol Powder 150 ml,150 ML,Pharmacological Agent,Neomycin + Bacitracin
Dermovate 0.05% 25 Gm Cream#,"25 G, 25 G, 0.05%",,Topical cream formulation
Dermovate 0.05% 25 Gm Oint #,"25 G, 25 G, 0.05%",,Pharmaceutical preparation
Derol D3 30 Film Coated,,"Bone health, Calcium absorption",Vitamin D3
Derolaxe Massage Cream 50 mg,50 MG,Pharmacological Agent,Ketoprofen
Deron 10 Sachets 15 gm,15 G,Pharmacological Agent,Probiotics
Dertrina 21 Film Coated,,Second-generation Antihistamine,Desloratadine
Des Up Gel 60 gm,60 G,Pharmacological Agent,Ketoprofen
Desa 2.5 Mg / 5 Ml Syrup 100 Ml #,"2.5 MG, 5 ML, 100 ML, 5 ML, 100 ML",,Oral liquid formulation
Desa 5 Mg 20 Tab,5 MG,,Oral tablet formulation
Descar Gel 10 gm,10 G,Pharmacological Agent,Ketoprofen
Deslorastamine,,Second-generation Antihistamine,Desloratadine
Deslorat 5 mg 20,5 MG,Second-generation Antihistamine,Desloratadine
Desmodjust 0.1 mg 30,0.1 MG,Pharmacological Agent,Desogestrel
Desmodjust 0.2 mg 30,0.2 MG,Pharmacological Agent,Desogestrel
Despruderm 0.05 % Cream 30 gm,"30 G, 0.05%",Pharmacological Agent,Betamethasone
Despruderm 0.05% 30 Gm Cream,"30 G, 30 G, 0.05%",,Topical cream formulation
Despruderm Topical Lotion 60 ml,60 ML,Pharmacological Agent,Betamethasone
Dessantaxine 50 mg 30,50 MG,Second-generation Antihistamine,Desloratadine
Detopy D3 Oral,,"Bone health, Calcium absorption",Vitamin D3
Detronin 5 mg 20,5 MG,Second-generation Antihistamine,Fexofenadine
Detrusitol Retard 4 Mg 14 Cap,4 MG,,Oral capsule formulation
Devaferrin 20,,Iron Supplement,Iron
Devarol - S - 200.000 I.u. 1 Amp 2 Ml,"2 ML, 2 ML, 200.000 MG",,Pharmaceutical preparation
Devart B12 1000 mcg 30 Sublingual,1000 MCG,Nutritional supplement,Vitamin B12
Devart C - Zinc 20 Chew. Tab,,Mineral Supplement,Zinc - Essential mineral for immune function
Devart C - Zinc 20 Sr Tab,,Mineral Supplement,Zinc - Essential mineral for immune function
Devart C-Zinc 20,,"Immune support, Wound healing",Zinc sulfate
Devart C-Zinc SR 20,,"Immune support, Wound healing",Zinc sulfate
Devart D3 10.000 I.u. 30 Tab,10.000 MG,,Oral tablet formulation
Devart D3 1000 I.u. 30 Tab,1000 MG,,Oral tablet formulation
Devart D3 5000 I.U 30,,"Bone health, Calcium absorption",Vitamin D3
Devart D3 5000 I.u. 30 Tab,5000 MG,,Oral tablet formulation
Devart Melatonin 3 mg 30,3 MG,Pharmacological Agent,Melatonin
Devart Zinc 30,,"Immune support, Wound healing",Zinc sulfate
Devart Zinc 50 Mg 30 Tab,50 MG,Mineral Supplement,Zinc - Essential mineral for immune function
Devinio Gel 30 gm,30 G,Pharmacological Agent,Ketoprofen
Devodanad 5000 ( I.U )125 mg 50,125 MG,"Bone health, Calcium absorption",Vitamin D3
Devodanad D3 2000 I.U 50,,"Bone health, Calcium absorption",Vitamin D3
Dex - Panthenol 20 gm Cream,20 G,Pharmacological Agent,Dexpanthenol
Dexaflox Eye,,Pharmacological Agent,Ofloxacin
Dexaflox Eye Drops 5 Ml,"5 ML, 5 ML",,Ophthalmic/otic drops
Dexaglobe 14 Mg / 2 Ml I.m 1 Amp,"14 MG, 2 ML, 2 ML",,Pharmaceutical preparation
Dexaglobe 14 mg 1,14 MG,"Anti-inflammatory, Corticosteroid",Dexamethasone
Dexamethasone - INAD Pharma 8 mg 3,8 MG,"Anti-inflammatory, Corticosteroid",Dexamethasone
Dexamethasone - Mup 8 Mg / 2 Ml 5 Amp,"8 MG, 2 ML, 2 ML",,Pharmaceutical preparation
Dexamethasone . Sod 8 Mg / 2 Ml 5 Amp (Eipico) (2236),"8 MG, 2 ML, 2 ML",,Pharmaceutical preparation
Dexamethasone 10 mg 5,10 MG,"Anti-inflammatory, Corticosteroid",Dexamethasone
Dexamethasone 8 Mg / 2 Ml 3 Amp (Amriya) #,"8 MG, 2 ML, 2 ML",,Pharmaceutical preparation
Dexamethasone 8 Mg / 2 Ml 5 Amp (Sigma),"8 MG, 2 ML, 2 ML",,Pharmaceutical preparation
Dexamethasone 8 mg 5,8 MG,"Anti-inflammatory, Corticosteroid",Dexamethasone
Dexanocorten 8 Mg / 2 Ml 3 Amp,"8 MG, 2 ML, 2 ML",,Pharmaceutical preparation
Dexaphen Syrup 120 Ml,"120 ML, 120 ML",,Oral liquid formulation
Dexathalm Eye Drops 5 Ml,"5 ML, 5 ML",,Ophthalmic/otic drops
Dexathalm Ophthalmic Solution 20 Single Dose Units,,"Anti-inflammatory, Corticosteroid",Dexamethasone
Dexathalm Sdu Eye Drops 20 Unidose X 0.3 Ml,"0.3 ML, 0.3 ML",,Ophthalmic/otic drops
Dexathalm Solution,,"Anti-inflammatory, Corticosteroid",Dexamethasone
Dexatobrin,,Pharmacological Agent,Tobramycin + Dexamethasone
Dexatobrin Eye Drops 5 Ml,"5 ML, 5 ML",,Ophthalmic/otic drops
Dexatobrin Eye Oint 5 Gm,"5 G, 5 G",,Pharmaceutical preparation
Dexatrol 5 Gm Eye Oint #,"5 G, 5 G",,Pharmaceutical preparation
Dexatrol Eye,,Pharmacological Agent,Tobramycin + Dexamethasone
Dexatrol Eye / Ear Drops 5 Ml,"5 ML, 5 ML",,Ophthalmic/otic drops
Dexatrol Ointment 5 gm,5 G,Pharmacological Agent,Tobramycin + Dexamethasone
Dexawest 30 mg 14,30 MG,Pharmacological Agent,Dextromethorphan
Dexawest 30 Mg 14 Cap,30 MG,,Oral capsule formulation
Dexawest 60 mg 14,60 MG,Pharmacological Agent,Dextromethorphan
Dexazone 0.5 mg 20,0.5 MG,"Anti-inflammatory, Corticosteroid",Dexamethasone
Dexazone 0.5 Mg 60 Tab (275297),0.5 MG,,Oral tablet formulation
Dexcoba 30 Sublingual,,Pharmacological Agent,Cobalt
Dexiglofozin 10 mg 30 Film Coated Tablet,10 MG,Pharmacological Agent,Dapagliflozin
Dexiglofozin 5 mg 30 Film Coated Tablet,5 MG,Pharmacological Agent,Dapagliflozin
Dexiglofozin Plus XR 10 / 1000 mg 30 Film Coated,1000 MG,Pharmacological Agent,Dapagliflozin + Metformin
Dexiglofozin Plus XR 10 / 500 mg 30 Film Coated,500 MG,Pharmacological Agent,Dapagliflozin + Metformin
Dexketo Care 25 mg 30,25 MG,Pharmacological Agent,Dexketoprofen
Dexketo Care Topical Gel 60 gm,60 G,Pharmacological Agent,Dexketoprofen
Dexpanthenol 20 Gm Cream,"20 G, 20 G",,Topical cream formulation
Dextra Fast 25 mg 20,25 MG,Pharmacological Agent,Dexketoprofen
Dextrafast 25 Mg 20 Tab,25 MG,,Oral tablet formulation
Dextromylon,,Pharmacological Agent,Dextromethorphan
Dextrose (Glucose) 10% (Almot.) I.v. Sol 500 Ml,"500 ML, 500 ML, 10%",,Pharmaceutical preparation
Dextrose (Glucose) 10% (Ultimate) I.v. Sol 500 Ml بغطاء,"500 ML, 500 ML, 10%",,Pharmaceutical preparation
Dextrose (Glucose) 25% (Almott) I.v. Sol 500 Ml (Cap) بالكاب,"500 ML, 500 ML, 25%",,Oral capsule formulation
Dextrose (Glucose) 25% (Almott) I.v. Sol 500 Ml بدون كاب,"500 ML, 500 ML, 25%",,Pharmaceutical preparation
Dextrose (Glucose) 5% (Allmed) I.v. Sol 500 Ml للحق الوريدى,"500 ML, 500 ML, 5%",,Pharmaceutical preparation
Dextrose (Glucose) 5% (Almott) I.v. Sol 500 Ml,"500 ML, 500 ML, 5%",,Pharmaceutical preparation
Dextrose (Glucose) 5% (Ateco) I.v. Sol 500 Ml للحقن الوريدى,"500 ML, 500 ML, 5%",,Pharmaceutical preparation
Dextrose (Glucose) 5% (Fipco) I.v. Sol 500 Mlفيبكو,"500 ML, 500 ML, 5%",,Pharmaceutical preparation
Dextrose (Glucose) 5% (Fipco) I.v. Sol 500 Mlفيبكو بغطاء,"500 ML, 500 ML, 5%",,Pharmaceutical preparation
Dextrose (Glucose) 5% (Gipcco) I.v. Sol 500 Ml جيبكو,"500 ML, 500 ML, 5%",,Pharmaceutical preparation
Dextrose 25% Intravenous Infusion 500 ml (Ostuca),"500 ML, 25%",Pharmacological Agent,Dextrose
Dextrose 5% Intravenous Infusion 500 ml With Cap (MUP),"500 ML, 5%",Pharmacological Agent,Dextrose
Dextrose MUP 25% Solution For IV Infusion 500 ml With Cap (MUP),"500 ML, 25%",Pharmacological Agent,Dextrose
Dg - Care 0.1% 75 Gm Toothpaste (Oral Gel) #,"75 G, 75 G, 0.1%",,Topical gel formulation
Dg - Care Wash Clove Mouth . Wash 125 Ml (389987) قرنفل,"125 ML, 125 ML",,Pharmaceutical preparation
Dg - Care Wash Clove Mouth . Wash 220 Ml (389987) قرنفل,"220 ML, 220 ML",,Pharmaceutical preparation
Dg - Wash Fluoride Mouth . Wash 125 Ml (397294) فلورايد,"125 ML, 125 ML",Influenza Treatment,Pharmaceutical preparation
DG - Wash Fluoride Mouthwash 350 ml,350 ML,Pharmacological Agent,Fluoride
Dg - Wash Menthol Mouth . Wash 125 Ml (397295) منتول,"125 ML, 125 ML",,Pharmaceutical preparation
Dg - Wash Menthol Mouth . Wash 220 Ml (324409) منتول,"220 ML, 220 ML",,Pharmaceutical preparation
DG - Wash Menthol Mouthwash 350 ml,350 ML,Pharmacological Agent,Menthol
DG -Care Wash Clove Mouthwash 350 ml,350 ML,Pharmacological Agent,Clove oil
Dh Fiber 30 Cap,,,Oral capsule formulation
Dh Green Coffee 30 Cap,,,Oral capsule formulation
Dh Green Herbs 20 Cap,,,Oral capsule formulation
DHAEPAL 500 gm,500 G,Pharmacological Agent,DHA
Diabenor 1 mg 10,1 MG,Pharmacological Agent,Glimepiride
Diabenor 2 Mg 30 Tab (128451),2 MG,,Oral tablet formulation
Diabenor 3 Mg 30 Tab (127951),3 MG,,Oral tablet formulation
Diabetin 15 Mg 30 Tab ( 72709 ),15 MG,,Oral tablet formulation
Diabetin 30 Mg 30 Tab ( 72710 ),30 MG,,Oral tablet formulation
Diabetonorm 45 Mg 15 Tab,45 MG,,Oral tablet formulation
Diabride 2 mg 10,2 MG,Pharmacological Agent,Glimepiride
Diacalderm 20 Gm Oint,"20 G, 20 G",,Pharmaceutical preparation
Diacalderm Ointment 20 gm,20 G,Pharmacological Agent,Calamine
Diacerein 50 mg 30,50 MG,Pharmacological Agent,Diacerein
Diacerein 50 Mg 30 Cap,50 MG,,Oral capsule formulation
Diacurimap 10 Mg 30 Tab,10 MG,,Oral tablet formulation
Diacurimap 25 Mg 30 Tab,25 MG,,Oral tablet formulation
Diacurimap Plus 10 / 5 Mg 30 Tab,5 MG,,Oral tablet formulation
Diacurimap Plus 10/5 mg 30 Film Coated,5 MG,Pharmacological Agent,Glimepiride + Metformin
Diacurimap Plus 25 / 5 Mg 30 Tab,5 MG,,Oral tablet formulation
Diadel 20 Gm Cream,"20 G, 20 G",,Topical cream formulation
Diaflozimet 10 / 1000 Mg 30 Tab,1000 MG,,Oral tablet formulation
Diaflozimet 10 / 500 Mg 30 Tab,500 MG,,Oral tablet formulation
Diaflozimet 5 / 1000 Mg 30 Tab,1000 MG,,Oral tablet formulation
Diaflozimet 5 / 500 mg 30,500 MG,Pharmacological Agent,Sitagliptin + Metformin
Diamedizen - M R - 30 Mg 30 Tab,30 MG,,Oral tablet formulation
Diamedizen - M R - 60 Mg 30 Tab,60 MG,,Oral tablet formulation
Diamedizen 30 MR 30,,"Diabetes, Blood sugar control",Metformin
Diamicron - Mr - 30 Mg 30 Tab #,30 MG,,Oral tablet formulation
Diamicron - Mr - 60 Mg 30 Tab #,60 MG,,Oral tablet formulation
Diamicron MR 30 mg 30,30 MG,Pharmacological Agent,Gliclazide
Diamicron MR 60 mg 30,60 MG,Pharmacological Agent,Gliclazide
Diamonrecta 20 mg 2,20 MG,Pharmacological Agent,Glimepiride
Diamonrecta 20 mg 4,20 MG,Pharmacological Agent,Glimepiride
Diamonrecta 20 mg 5 Orodispersible Films,20 MG,Pharmacological Agent,Glimepiride
Diamonrecta 5 Mg 30 Tab,5 MG,,Oral tablet formulation
Diasmect 1 Gm / 5 Ml Susp 60 Ml,"1 G, 1 G, 5 ML, 60 ML, 5 ML, 60 ML",,Pharmaceutical preparation
Diasmect 3 Gm 10 Sachets,"3 G, 3 G",,Pharmaceutical preparation
Diastop Susp 60 Ml,"60 ML, 60 ML",,Pharmaceutical preparation
Diastop Suspension 60 ml,60 ML,Pharmacological Agent,Simethicone
Diavance 1.25 / 250 Mg 30 Tab,250 MG,,Oral tablet formulation
Diavance 1.25/250 mg 30,250 MG,Pharmacological Agent,Glibenclamide + Metformin
Diavance 2.5 / 500 Mg 30 Tab,500 MG,,Oral tablet formulation
Diavance 5 / 500 Mg 30 Tab,500 MG,,Oral tablet formulation
Diavance 5 mg 30,5 MG,Pharmacological Agent,Glibenclamide
Diax 200 mg 12,200 MG,Antifungal (Azole),Fluconazole
Diax 200 Mg 12 Cap,200 MG,,Oral capsule formulation
Diax 220 Mg / 5 Ml Susp 60 Ml,"220 MG, 5 ML, 60 ML, 5 ML, 60 ML",,Pharmaceutical preparation
Diax 220 mg / 5 ml Suspension 60 ml,"220 MG, 5 ML, 60 ML",Antifungal (Azole),Fluconazole
Diazocerine 50 mg 20,50 MG,Pharmacological Agent,Diacerein
Diazocerine 50 Mg 20 Cap,50 MG,,Oral capsule formulation
Dibavally 50 mg 28,50 MG,Pharmacological Agent,Vildagliptin
Dibavally Plus 50 Mg / 1000 Mg 28 Tab,"50 MG, 1000 MG",,Oral tablet formulation
Dibavally Plus 50/1000 mg 28,1000 MG,Pharmacological Agent,Vildagliptin + Metformin
Dicetel 100 mg 20,100 MG,Pharmacological Agent,Pinaverium
Diclac - Id 150 Mg 10 Tab (403479),150 MG,,Oral tablet formulation
Diclac - Id 150 Mg 20 Tab (77943),150 MG,,Oral tablet formulation
Diclac - Id 75 Mg 20 Tab (613410),75 MG,,Oral tablet formulation
Diclac - Id 75 Mg 30 Tab (42794),75 MG,,Oral tablet formulation
Diclac - N 4% 30 Gm Gel,"30 G, 30 G, 4%",,Topical gel formulation
Diclac - N 4% 50 Gm Gel,"50 G, 50 G, 4%",,Topical gel formulation
Diclac 75 Mg / 3 Ml 5 Amp #,"75 MG, 3 ML, 3 ML",,Pharmaceutical preparation
Diclac 75 mg 6,75 MG,"Pain relief, Anti-inflammatory",Diclofenac
Diclasium 50 mg 30,50 MG,"Pain relief, Anti-inflammatory",Diclofenac
Dicloferaz 50 mg 30 Dispersible,50 MG,"Pain relief, Anti-inflammatory",Diclofenac
Dicloflam 50 mg 10,50 MG,"Pain relief, Anti-inflammatory",Diclofenac
Diclonatrium - S R - 75 Mg 20 Tab,75 MG,,Oral tablet formulation
Diclonatrium 75 mg SR 20,75 MG,"Pain relief, Anti-inflammatory",Diclofenac
Diclopro,,"Pain relief, Anti-inflammatory",Diclofenac
Diclopro - Id 150 Mg 20 Tab,150 MG,,Oral tablet formulation
Diclopro K 50 mg 10 Sachets,50 MG,"Pain relief, Anti-inflammatory",Diclofenac
Diclopro Topical Gel 50 mg,50 MG,"Pain relief, Anti-inflammatory",Diclofenac
Diclorapid 50 mg 30,50 MG,"Pain relief, Anti-inflammatory",Diclofenac
Diclosp 75 mg 30,75 MG,"Pain relief, Anti-inflammatory",Diclofenac
Diclotazen 50 Mg 10 Sachets (349447),50 MG,,Pharmaceutical preparation
Dicynone 250 Mg / 2 Ml 3 Amp,"250 MG, 2 ML, 2 ML",,Pharmaceutical preparation
Dicynone 250 mg 3,250 MG,Pharmacological Agent,Ethamsylate
Dicynone 500 mg 14,500 MG,Pharmacological Agent,Ethamsylate
Didder 75 Gm Cream,"75 G, 75 G",,Topical cream formulation
Dienodiva,,Pharmacological Agent,Dienogest
Diet Sweet 100 Tab,,,Oral tablet formulation
Diet Sweet 350 Tab,,,Oral tablet formulation
Diet Sweet 50 Tab,,,Oral tablet formulation
Diflucan 150 mg 1,150 MG,Antifungal (Azole),Fluconazole
Diflucan 150 Mg 1 Cap,150 MG,Influenza Treatment,Oral capsule formulation
Diflucan 2 Mg / Ml Iv 1 Vial 50 Ml,"2 MG, 50 ML, 50 ML",Influenza Treatment,Parenteral formulation
Diflucan 50 mg 7,50 MG,Antifungal (Azole),Fluconazole
Diflucan 50 Mg 7 Cap,50 MG,Influenza Treatment,Oral capsule formulation
Diflustero 0.05% Eye Drops 5 Ml,"5 ML, 5 ML, 0.05%",Influenza Treatment,Ophthalmic/otic drops
Dig One 20,,Pharmacological Agent,Digestive enzymes
Digenorm,,Pharmacological Agent,Probiotics
Digenorm Syrup 120 Ml,"120 ML, 120 ML",,Oral liquid formulation
Digerbal 30 Hard Gelatin,,Pharmacological Agent,Herbal digestive
Digest - Eze 20 Cap,,,Oral capsule formulation
Digest 365 30,,Pharmacological Agent,Probiotics
Digest 365 30 Cap,,,Oral capsule formulation
Digestin 20,,Pharmacological Agent,Digestive enzymes
Digestozyme 20 Tab,,,Oral tablet formulation
Digestozyme 200 mg / 50 mg 20,"200 MG, 50 MG, 200 MG + 50 MG",Pharmacological Agent,Pancreatin + Simethicone
Digicomag 30 Chew. Tab,,,Oral tablet formulation
Digicomag 30 Chewable,,Magnesium Supplement,Magnesium
Diglifloz 10 mg 30,10 MG,Pharmacological Agent,Dapagliflozin
Diglifloz 5 mg 30 Film,5 MG,Pharmacological Agent,Dapagliflozin
Diglifloz 5 Mg 30 Tab,5 MG,,Oral tablet formulation
Diglifloz Plus 5 / 1000 Mg 30 Tab,1000 MG,,Oral tablet formulation
Diglifloz Plus 5 / 850 Mg 30 Tab,850 MG,,Oral tablet formulation
Diglifloz Plus 5 mg / 850 mg 30 Film Coated Tablet,"5 MG, 850 MG, 5 MG + 850 MG",Pharmacological Agent,Dapagliflozin + Metformin
Dilatrol 25 mg 30,25 MG,Calcium Channel Blocker,Nifedipine
Dilatrol 6.25 mg 30,6.25 MG,Calcium Channel Blocker,Nifedipine
Dillengo,,Pharmacological Agent,Dextromethorphan
Dillengo Syrup 120 Ml,"120 ML, 120 ML",,Oral liquid formulation
Diltiarect 2% Rectal Cream 30 gm (Fridge),"30 G, 2%",Calcium Channel Blocker,Diltiazem
Diltiazem - S R - 180 Mg 10 Cap,180 MG,,Oral capsule formulation
Dimaklaric 21,,Pharmacological Agent,Aluminium chloride
Dimra 20 Tab #,,,Oral tablet formulation
Dinitra 10 mg 60,10 MG,Pharmacological Agent,Isosorbide dinitrate
Dinitra 20 Mg 20 Tab,20 MG,,Oral tablet formulation
Dinitra 5 mg 30,5 MG,Pharmacological Agent,Isosorbide dinitrate
Dinonosis 2 mg 28,2 MG,Pharmacological Agent,Isosorbide dinitrate
Diomacte Oral Suspention 60 ml,60 ML,Pharmacological Agent,Domperidone
Diosed - C 500 Mg 20 Tab,500 MG,,Oral tablet formulation
